ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,latitude,longitude,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
14,Jalisco,1,Acatic,69,Las Tablas,20.7794444,-102.9052778,1769,25,12,13,3,1,2,22,11,11,20,11,9,16,8,8,15,8,7,12,6,6,4,1,3,2,2,0,1,0,1,1,0,1,3,2,1,1,1,0,8,1,0,1,108.33,10,14,1,2.38,25,12,13,0,0,0,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,23,1,0,1,1,1,0,1,0,1,2,2,0,1,1,0,0,0,0,1,0,1,0,0,0,6,1,5,3,2,1,3,3,0,3,2,1,0,0,0,5.4,6.75,3.86,8,1,7,8,7,1,8,1,7,0,0,0,20,5,0,0,0,0,5,0,0,0,5,10,1,25,0,0,0,6,0,6,25,0,25,7,6,7,6,6,6,1,0,25,4.17,1.19,5,1,4,2,1,0,5,6,0,6,0,0,6,5,6,0,6,0,6,0,6,0,0,6,5,2,4,5,0,5,6,0,1,6,0,0,0,0,0,0,6,0,1
14,Jalisco,1,Acatic,33,Los Llanitos,20.7921375,-102.8937617,1778,147,74,73,8,3,5,139,71,68,132,66,66,116,56,60,109,52,57,94,49,45,8,6,2,15,9,6,16,11,5,7,4,3,15,3,12,16,11,5,38,12,6,6,98.65,38,99,10,2.98,140,70,70,4,3,1,127,64,63,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,1,3,2,17,8,2,1,5,1,3,5,122,5,3,2,1,0,1,2,1,1,4,1,3,2,1,1,0,0,0,11,8,3,12,9,3,23,10,13,38,16,22,4,1,3,25,11,14,6,4,2,5.93,5.65,6.18,59,13,46,57,43,14,59,13,46,0,0,0,76,71,17,0,0,0,54,0,0,0,41,69,6,147,0,0,0,41,9,32,147,29,118,54,41,54,41,41,41,7,6,147,3.59,1.02,40,1,13,28,1,2,38,40,1,39,7,2,38,21,40,0,39,2,38,1,39,3,1,40,38,23,35,34,15,32,38,4,1,38,6,1,0,0,2,2,33,1,1
14,Jalisco,1,Acatic,66,Santa Rita,20.8280083,-102.8471425,1735,403,203,200,20,6,14,383,197,186,366,193,173,291,146,145,265,135,130,246,124,122,29,12,17,63,39,24,73,39,34,26,11,15,19,11,8,34,16,18,105,37,17,20,98.52,138,239,26,2.97,391,194,197,0,0,0,351,184,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,2,1,2,0,2,4,31,7,22,2,17,2,7,7,359,8,1,7,3,1,2,7,2,5,6,3,3,5,3,2,1,0,1,43,22,21,42,22,20,53,21,32,82,45,37,13,3,10,61,35,26,14,9,5,5.53,5.75,5.31,175,53,122,114,92,22,173,52,121,2,1,1,292,111,95,0,0,0,15,0,0,1,97,173,21,403,0,0,0,101,12,89,403,38,365,141,101,141,101,101,101,40,0,403,3.99,1.1,100,1,30,71,4,4,93,101,0,49,0,52,87,63,96,1,96,5,48,0,95,11,1,94,89,43,81,74,27,77,97,8,2,95,28,13,5,1,4,4,72,1,2
14,Jalisco,1,Acatic,24,La Gazapera,20.7295161,-102.9808625,1744,86,40,46,3,1,2,83,39,44,82,39,43,66,34,32,61,33,28,57,30,27,2,1,1,15,4,11,17,4,13,5,1,4,4,3,1,9,5,4,24,11,6,5,115,25,51,10,2.94,85,39,46,1,1,0,82,39,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,3,1,2,0,0,0,1,1,81,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,8,3,5,9,4,5,13,6,7,25,14,11,1,1,0,11,7,4,2,1,1,5.31,5.61,4.96,39,14,25,27,20,7,39,14,25,0,0,0,61,25,23,2,0,0,0,0,0,0,23,42,1,86,0,0,0,23,2,21,86,5,81,32,23,32,23,23,23,8,1,86,3.74,0.91,23,0,3,20,0,0,23,23,0,16,0,7,21,15,21,0,21,2,16,0,21,4,0,22,23,15,19,16,3,23,23,0,2,22,1,0,0,0,0,0,22,0,1
14,Jalisco,1,Acatic,44,Las Pilas,20.698525,-102.9387519,1760,51,22,29,4,0,4,47,22,25,44,21,23,34,15,19,33,15,18,32,15,17,3,1,2,10,6,4,6,2,4,1,0,1,1,0,1,1,0,1,8,12,3,9,131.82,18,26,7,2.93,50,22,28,1,0,1,44,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,2,0,8,2,8,0,1,1,1,2,39,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,4,7,3,4,7,5,2,2,2,0,10,3,7,2,1,1,5.79,6.13,5.5,16,3,13,18,12,6,16,3,13,0,0,0,47,4,4,0,0,0,0,0,0,0,6,27,1,51,0,0,0,15,3,12,51,9,42,20,15,20,15,15,15,5,0,51,3.4,0.88,15,0,6,9,0,1,14,15,0,7,0,8,13,5,15,0,15,0,7,0,15,2,0,14,12,7,13,12,4,13,15,3,0,15,0,0,0,0,0,0,12,0,1
14,Jalisco,1,Acatic,70,El Tempisque,20.7932292,-102.8715392,1707,42,21,21,3,2,1,39,19,20,39,19,20,29,15,14,25,13,12,23,11,12,3,1,2,7,3,4,8,4,4,4,2,2,2,2,0,6,3,3,12,2,1,1,100,17,23,2,2.27,41,21,20,1,0,1,39,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,40,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,3,1,2,3,1,2,4,1,3,9,6,3,0,0,0,8,4,4,0,0,0,5.92,6.62,5.17,14,2,12,15,13,2,14,2,12,0,0,0,16,26,12,0,0,0,10,0,4,0,9,16,4,40,0,0,2,11,4,7,42,18,24,11,11,11,11,11,11,0,0,42,3.82,1.05,11,0,3,8,0,1,10,11,0,11,0,0,9,2,11,0,11,0,11,0,11,0,0,11,11,6,8,11,2,11,10,1,1,10,0,1,0,0,0,0,10,0,1
14,Jalisco,1,Acatic,131,El Pitahayo,20.7703161,-102.8659206,1687,12,5,7,0,0,0,12,5,7,11,4,7,10,3,7,9,3,6,9,3,6,1,1,0,1,1,0,2,1,1,1,0,1,0,0,0,2,0,2,3,2,0,2,140,3,7,2,3.67,12,5,7,0,0,0,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,3,1,2,2,1,1,0,0,0,2,1,1,1,0,1,5.67,6.33,5.33,8,2,6,2,1,1,8,2,6,0,0,0,12,0,0,0,0,0,0,0,0,0,4,6,0,12,0,0,0,3,0,3,12,0,12,6,3,6,3,3,3,3,0,12,4,1,3,0,0,3,0,0,3,3,0,1,0,2,3,1,3,0,3,0,1,0,3,0,0,3,3,0,3,3,0,3,3,0,0,3,0,0,0,0,0,0,3,0,1
14,Jalisco,1,Acatic,73,El Tepehuaje,20.7274503,-102.9926986,1741,68,31,37,6,5,1,62,26,36,60,25,35,53,23,30,49,22,27,44,19,25,4,1,3,5,2,3,8,3,5,4,1,3,5,3,2,10,5,5,16,11,5,6,119.35,19,40,9,1.96,66,29,37,0,0,0,60,25,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,12,2,7,1,1,2,1,1,54,1,1,0,1,0,1,3,1,2,1,1,0,0,0,0,0,0,0,3,1,2,5,3,2,13,7,6,12,3,9,0,0,0,19,9,10,0,0,0,5.67,5.41,5.89,28,6,22,24,17,7,27,6,21,1,0,1,43,25,25,0,0,0,0,0,0,0,18,32,3,68,0,0,0,20,2,18,68,4,64,24,20,24,20,20,20,4,0,68,3.4,0.86,20,0,1,19,0,0,20,20,0,19,2,1,14,2,18,0,18,2,17,0,18,3,0,20,17,8,15,12,1,16,19,0,0,17,1,0,0,0,1,3,19,0,1
14,Jalisco,1,Acatic,60,San Antonio de Roa,20.7826806,-102.932075,1673,44,27,17,1,1,0,43,26,17,43,26,17,41,24,17,37,22,15,36,21,15,0,0,0,2,2,0,6,4,2,4,2,2,1,1,0,7,4,3,12,10,4,6,62.96,7,28,9,1.96,43,27,16,1,0,1,43,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,4,10,0,3,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,8,4,4,14,6,8,9,7,2,0,0,0,4,4,0,2,1,1,4.19,5,3,26,13,13,15,11,4,26,13,13,0,0,0,40,4,4,0,0,0,0,0,0,0,24,14,3,44,0,0,0,12,2,10,44,6,38,22,12,22,12,12,12,10,0,44,3.67,0.88,12,0,1,11,0,1,11,11,1,3,0,9,5,4,9,0,9,3,3,1,9,5,0,11,9,3,6,2,8,8,10,0,0,11,0,0,0,0,0,1,12,0,1
14,Jalisco,1,Acatic,27,Jaguey,20.7156747,-102.9576408,1684,27,14,13,1,1,0,26,13,13,24,11,13,23,10,13,22,10,12,21,10,11,2,2,0,1,1,0,2,1,1,1,0,1,1,0,1,2,1,1,7,6,3,3,92.86,5,16,6,4.6,27,14,13,0,0,0,23,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,7,2,5,2,3,0,0,0,17,2,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,3,2,1,2,1,1,6,2,4,3,1,2,0,0,0,7,4,3,3,2,1,6.82,6.8,6.83,12,1,11,11,9,2,12,1,11,0,0,0,21,6,6,0,0,0,0,0,0,0,6,16,1,27,0,0,0,6,0,6,27,0,27,8,6,8,6,6,6,2,0,27,4.5,0.93,6,0,0,6,0,0,6,6,0,2,0,4,4,3,6,0,6,0,2,0,6,0,0,6,6,4,6,6,2,5,6,0,0,6,1,3,0,0,0,0,5,0,1
